FID_	osm_id	lastchange	code	fclass	name	ref	oneway	maxspeed	layer	bridge	tunnel
	23740800	 	5122	residential	Erou Pana Gheorghe		0	0	0	0	0
	23741012	 	5122	residential	Rulmentului		0	0	0	0	0
	23741023	 	5122	residential	Mileanca		0	0	0	0	0
	23741048	 	5122	residential	Soldat Neagu Andrei		0	0	0	0	0
	23741068	 	5122	residential	Soldat I. Parijolescu		0	0	0	0	0
	23741081	 	5122	residential	Culesului		0	0	0	0	0
	23741109	 	5122	residential	Voiosiei		0	0	0	0	0
	23741112	 	5122	residential	Soldat Tina Radu		0	0	0	0	0
	23741116	 	5122	residential	Tarnoveanu Mihail		0	0	0	0	0
	23741121	 	5122	residential	Burluși		0	0	0	0	0
	23741137	 	5122	residential	Barcarolei		0	0	0	0	0
	23741154	 	5122	residential	Catanoaia		0	0	0	0	0
	23741164	 	5122	residential	Everest		0	0	0	0	0
	23741169	 	5122	residential	Căzănești		0	0	0	0	0
	23741178	 	5122	residential	Cristestiului		0	0	0	0	0
	23741205	 	5122	residential	strada oxigenului		0	40	0	0	0
	23741221	 	5122	residential	strada oxigenului		0	40	0	0	0
	23741232	 	5122	residential	Iosifesti		0	0	0	0	0
	23749862	 	5122	residential	Strada Bădeni		0	0	0	0	0
	23749868	 	5122	residential	Aleea Sibiana		0	0	0	0	0
	23749884	 	5122	residential	Intrarea Horbotei		0	0	0	0	0
	23749933	 	5122	residential	Intrarea Bârsei		0	0	0	0	0
	23750010	 	5122	residential	Aleea Buchetului		0	0	0	0	0
